Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
LE TUTEUR, COMÉDIE	DANCOURT, Florent CARTON dit	1694	cc-by-nc-sa	theatre	comedy	prose	yes	8333	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DANCOURT_TUTEUR.xml	
LE DROIT DU SEIGNEUR, COMÉDIE	VOLTAIRE (1694-1778)	1763	cc-by-nc-sa	theatre	comedy	verse	yes	16065	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/VOLTAIRE_DROITDUSEIGNEUR.xml	
L'HÉROÏNE AMÉRICAINE	ARNOULD, Jean-François (1734-1795)	1786	cc-by-nc-sa	theatre	other	prose	yes	3087	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ARNOULD_HEROINEAMERICAINE.xml	
HECTOR. TRAGÉDIE	MONTCHRESTIEN Antoine de (1575?-1621)	1604	ARR	theatre	tragedy	verse	yes	22801	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/MONTCHRETIEN_HECTOR.xml	
LE CAFÉ BORGNE, COMÉDIE	Louis Carrogis de CARMONTELLE (1717-1806)	1770	cc-by-nc-sa	theatre	other	prose	yes	3166	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CARMONTELLE_CAFEBORGNE.xml	
À LA MONACO, L'ON CHASSE L'ON DÉCHASSE, PROVERBE	P. G.	1889	cc-by-nc-sa	theatre	other	verse	yes	4136	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PG_ALAMONACO.xml	
PHÈDRE, TRAGÉDIE	RACINE, Jean (1639-1699)	1697	cc-by-nc-sa	theatre	tragedy	verse	yes	14845	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/RACINE_PHEDRE.xml	
LA COMÉDIE DES COMÉDIENS, COMÉDIE	SCUDERY, Georges de (1601-1667)	1635	cc-by-nc-sa	theatre	comedy	mixed	yes	5463	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/SCUDERY_COMEDIEDESCOMEDIENS.xml	
COMPLAINTE DU PAUV' PROPRIÉTAIRE, MONOLOGUE.	FEYDEAU, Georges (1862-1921)	1916	cc-by-nc-sa	theatre	other	verse	yes	667	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/FEYDEAU_COMPLAINTEDUPAUVPRORIETAIRE.xml	
LES SOSIES, COMÉDIE	Jean de ROTROU (1609-1650)	1638	cc-by-nc-sa	theatre	comedy	verse	yes	16767	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ROTROU_SOSIES.xml	
LE CAFÉ, COMÉDIE EN UN ACTE	ROUSSEAU, Jean Baptiste	1694	cc-by-nc-sa	theatre	comedy	prose	yes	7197	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ROUSSEAUJB_CAFE.xml	
LE SOT VENGÉ, COMÉDIE EN UN ACTE	POISSON, Jean-François	1679	cc-by-nc-sa	theatre	comedy	verse	yes	3701	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/POISSON_SOTVENGE.xml	
LA CIGALE CHEZ LES FOURMIS, COMÉDIE	Eugène LABICHE (1815-1888)	1892	ARR	theatre	comedy	prose	yes	7973	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/LABICHE-LEGOUVE_CIGALECHEZLESFOURMIS.xml	
L'IMPROMPTU DE L'HÔTEL DE CONDÉ, COMÉDIE	MONTFLEURY, Antoine Jacob dit	1774	cc-by-nc-sa	theatre	comedy	verse	yes	3558	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/MONTFLEURY_IMPROMPTUCONDE.xml	
